longitude,latitude
38.833,-17.033
45.106,-12.796
43.708,-12.39
45.203,-12.861
43.5,-23.333
46.21,-9.398
40.583,-13
45.192,-12.841
35.5,-21.667
38.683,-17.067
43.983,-16.35
43.656,-23.421
43.261,-11.655
36.15,-18.893
39.75,-21.25
40.617,-12.333
39.705,-16.533
49.978,-15.593
39,-17.167
43.368,-11.852
43,-22
39.143,-17.086
36.813,-25.164
43.229,-11.731
45.267,-12.867
45.167,-12.917
40.767,-14.217
45.206,-12.813
43.15,-22.5
40.567,-12.333
46.5,-9.75
50.925,-14.725
42.5,-20
42.35,-15.967
40.483,-10.8
43.663,-12.361
44.4,-12.158
35.5,-21.5
47.483,-13.719
43.653,-12.405
43.1,-17.6
43.217,-11.733
43.708,-12.385
36,-19
43.262,-11.655
43.052,-22.351
46.507,-9.505
44.057,-12.672
43.517,-23.333
46.209,-9.405
47.583,-9.717
45.038,-12.673
43.151,-12.884
44.318,-12.186
48,-13.5
43.654,-12.392
49.5,-17.667
43.933,-18.917
43.267,-11.383
40.65,-10.783
49.741,-15.434
43.66,-12.358
46.066,-9.533
40.683,-14.183
47.616,-12.05
40.567,-12
35.662,-21.263
47.085,-25.035
43.475,-12.392
46.926,-14.946
50.9,-9.466
44.404,-19.295
38.817,-17.067
46.244,-9.378
43.375,-11.859
43.5,-12.398
43.666,-23.35
37.5,-21
48.244,-14.844
43.267,-21.95
43.66,-23.408
46.207,-9.38
45.108,-12.795
44.35,-12.175
43.962,-16.328
40.133,-16.333
43.35,-21.3
48.167,-12.866
48.233,-13.467
43.662,-12.361
45.283,-12.783
47,-9.833
36.206,-18.772
48.11,-12.807
48.2,-13.383
40.65,-10.692
45.225,-12.945
35.7,-23.133
48.378,-13.433
46.842,-16.267
50.1,-12.916
46.943,-14.866
45.074,-12.673
40.65,-10.9
43.767,-23.517
48.542,-12.075
46.816,-16.309
45.212,-12.981
42.983,-13.033
48.188,-12.799
40.575,-12.008
40.317,-11.317
53.25,-20.75
44.25,-12.167
43.667,-12.354
43.667,-12.35
41.8,-16.133
35.567,-21.667
40.733,-12.316
46.204,-9.404
38.3,-17.533
49.283,-12.317
43.633,-16
38.183,-25.428
45.113,-12.844
38.2,-17.5
46.683,-13.883
48.267,-12.684
48.256,-12.698
46.151,-15.334
44.367,-12.179
48.283,-13.4
45.222,-12.948
40.617,-11.367
43.291,-11.375
45.311,-12.823
40.833,-17.35
43.158,-16.383
45.007,-12.653
43.3,-11.375
44.417,-12.167
37.483,-18
46.1,-15.35
50.95,-14.716
46.199,-9.391
45.255,-12.901
40.567,-12.25
43.66,-23.371
35.167,-24.417
38.7,-17.05
43.657,-12.398
46.333,-15.667
37.62,-18.035
48.326,-12.522
43.117,-17.833
44.489,-12.087
43.686,-23.333
40.667,-11
50.236,-15.31
46.333,-9.433
40.567,-12.358
40.65,-15.033
44.489,-12.088
45.101,-12.927
43.266,-11.56
48.217,-12.434
45.222,-12.958
43.242,-11.683
46.004,-15.418
45.105,-12.796
43.833,-23.417
46.917,-25.069
39.079,-17.004
43.468,-23.583
51.119,-10.182
46.24,-9.38
48.842,-19.925
43.683,-12.566
43.267,-11.683
43.257,-11.654
40.617,-11.183
43.183,-17.283
48,-9.45
35.667,-21.367
46.217,-15.283
47.033,-10.933
46.25,-12.5
41.095,-14.466
48.164,-12.728
43.517,-23.6
43.567,-11.383
47,-25.183
39.083,-17
43.265,-11.657
43.292,-11.376
40.599,-12.489
44.3,-12.088
43.433,-23.017
44.483,-12.083
50.673,-23.313
47.51,-9.712
43.694,-12.394
44.167,-12.692
43.716,-12.389
45.217,-12.983
43.251,-11.689
43.639,-12.392
40.033,-16.35
43.1,-22.45
45.272,-12.803
35.721,-23.096
48.183,-13.25
43.517,-23.601
45.225,-12.743
36.3,-21.3
40.833,-14.167
35.957,-20.792
46.083,-15.498
49.417,-18.167
40.65,-10.683
41.2,-12.717
43.934,-18.917
48.331,-13.392
44.749,-15.792
49.27,-11.855
43.751,-23.556
45.159,-12.976
43.535,-23.202
45.9,-11.416
48.283,-12.55
43,-12
44.367,-12.1
48.241,-13.385
43.433,-14.5
46.986,-14.832
40.607,-12.343
43.133,-17.166
40.617,-14.5
48.13,-14.337
47.634,-13.752
40.683,-16.942
42.475,-17.583
46.25,-15.35
43.466,-15.908
46.934,-25.1
